Ticker,CA,Chain,Agent,Framework,Application,Meme,Ecosystem,Name,Image
$ZEREBRO,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,Solana,TRUE,TRUE,,,Zerepy,,
$AI16Z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,Solana,FALSE,TRUE,,,ai16z,,
$VIRTUAL,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,Base,FALSE,TRUE,,,Virtuals,,
$AIXBT,0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825,Base,TRUE,FALSE,,,Virtuals,aixbt by Virtuals,
$FAI,0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,Base,TRUE,FALSE,,,,Freysa AI,
$GAME,0x1c4cca7c5db003824208adda61bd749e55f463a3,Base,FALSE,TRUE,,,Virtuals,,
$ELIZA,5voS9evDjxF589WuEub5i4ti7FWQmZCsAsyD5ucbuRqM,Solana,TRUE,FALSE,,,ai16z,,
$VADER,0x731814e491571a2e9ee3c5b1f7f3b962ee8f4870,Base,TRUE,FALSE,,,Virtuals,VaderAI by Virtuals,
$VVAIFU,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,Solana,TRUE,FALSE,TRUE,,Launchpad,Dasha,
$BULLY,79yTpy8uwmAkrdgZdq6ZSBTvxKsgPrNqTLvYQBh1pump,Solana,TRUE,TRUE,,,Dolion,Dolos the Bully,
$SNAI,Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,Solana,FALSE,TRUE,,,,SwarmNode.ai,
$AVA,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,Solana,TRUE,FALSE,,,Holoworld,Ava AI,
$METAV,HCgvbV9Qcf9TVGPGKMGbVEj8WwwVD6HhTt5E2i3qkeN9,Solana,TRUE,TRUE,,,Launchpad,METAVERSE,
$Fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Solana,FALSE,FALSE,FALSE,TRUE,Truth Terminal,,
$GRIFFAIN,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,Solana,FALSE,FALSE,TRUE,,,,
$ARC,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,Solana,FALSE,TRUE,,,ARC,AI Rig Complex,
$GOAT,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Solana,FALSE,FALSE,FALSE,TRUE,Truth Terminal,,
$HAT,,,,,,,,,
